target_id,method_cn,error_mm,tilt_deg,sim_success
39,本文方法,6.4158962983702414,0.6313078223913865,True
39,优先级IK,16.42084653809166,5.510805462090342,True
40,本文方法,2.789175793256435,1.0256054378384645,True
40,优先级IK,7.060796683613676,9.164170810856866,True
41,本文方法,3.27254278234335,1.76754470622164,True
41,优先级IK,11.737167705713842,5.475643581526587,True
42,本文方法,7.547680417231167,0.9522945348714239,True
42,优先级IK,10.171582443976009,1.3216556752404798,True
43,本文方法,7.133383282016107,0.7030121634780062,True
43,优先级IK,10.496615782032492,4.8281594103896985,True
44,本文方法,2.5175628045338216,0.9945746151922459,True
44,优先级IK,6.169528321429996,9.33449229372266,True
45,本文方法,6.915773794286332,0.7084042460618019,True
45,优先级IK,14.269922941993308,4.173063495489578,True
46,本文方法,7.170217014817182,1.103990989502232,True
46,优先级IK,10.92048006712017,2.2647601871435787,True
47,本文方法,3.942487965561291,1.3043179370872524,True
47,优先级IK,10.438905453825393,2.6758475936502477,True
48,本文方法,3.6572692549731265,0.8417577784738175,True
48,优先级IK,9.614151890283372,8.468192090419226,True
49,本文方法,4.378248838491409,0.5656051794055876,True
49,优先级IK,4.466224647762781,7.74233313367354,True
