param,value,target_idx,ik_ok,sim_ok,final_error_m,max_tilt_deg
orientation_weight,0.9,14,True,True,0.00543088155688052,0.9206728579081294
orientation_weight,0.9,15,True,True,0.00461557142983859,1.1936988776176771
orientation_weight,0.9,16,True,True,0.004756798535767938,0.9902495550655233
orientation_weight,0.9,17,True,True,0.005358688744789051,0.6806646487225364
orientation_weight,0.9,18,True,True,0.003223564582321731,1.6824041909782366
orientation_weight,0.9,19,True,True,0.0043920870816777135,1.4101632535332898
orientation_weight,0.9,20,True,True,0.0027528435538484086,1.5997826313291168
orientation_weight,0.9,21,True,True,0.005002797124427194,0.9511298173341819
orientation_weight,0.9,22,True,True,0.004395821647974221,1.3084105891726043
orientation_weight,0.9,23,True,True,0.005111628284170342,0.9678449666612602
orientation_weight,0.9,24,True,True,0.008377198363598388,0.7886269979863004
orientation_weight,0.9,25,True,True,0.004805288600166941,0.9677263286038442
orientation_weight,0.9,26,True,True,0.003889723134351573,1.6141381821616418
orientation_weight,0.9,27,True,True,0.003907945765971842,1.3189796839971446
orientation_weight,0.9,28,True,True,0.004771008222279053,1.2383165382542345
orientation_weight,0.9,29,True,True,0.006477660143899932,0.7218549689547958
orientation_weight,1.8,0,True,True,0.004630595798130777,0.8266595583866124
orientation_weight,1.8,1,True,True,0.007869457443327049,0.6427980332920369
orientation_weight,1.8,2,True,True,0.004956565735187562,0.9956751158048094
orientation_weight,1.8,3,True,True,0.0030807491555768286,1.0894544302183529
orientation_weight,1.8,4,True,True,0.004373901294126944,0.7749356514617527
orientation_weight,1.8,5,True,True,0.0042167810606478,1.0540646943064147
orientation_weight,1.8,6,True,True,0.004368647222427948,1.064223852833124
orientation_weight,1.8,7,True,True,0.005395496966280082,1.0230830573533425
orientation_weight,1.8,8,True,True,0.004692237683135072,0.9865755481921812
orientation_weight,1.8,9,True,True,0.004638137711851717,0.7629424336410218
orientation_weight,1.8,10,True,True,0.0041963989816771055,1.0485025136047301
orientation_weight,1.8,11,False,False,nan,nan
orientation_weight,1.8,12,True,True,0.004809500787797364,1.047699492494683
orientation_weight,1.8,13,True,True,0.006207633472392919,1.1922468028643323
orientation_weight,1.8,14,True,True,0.00543065295109388,0.9193524643746447
orientation_weight,1.8,15,True,True,0.004615794653612715,1.1939912711283018
orientation_weight,1.8,16,True,True,0.004756419367777031,0.9875162834771166
orientation_weight,1.8,17,True,True,0.005357430444755137,0.6801093471863664
orientation_weight,1.8,18,True,True,0.003223597971150135,1.6820254109371755
orientation_weight,1.8,19,True,True,0.004391883128544305,1.4070059629601537
orientation_weight,1.8,20,True,True,0.0027537617660410374,1.598380112603024
orientation_weight,1.8,21,True,True,0.005002764360369861,0.9448094117240785
orientation_weight,1.8,22,True,True,0.004395762717256788,1.3061862983887096
orientation_weight,1.8,23,True,True,0.0051115784782470855,0.9617373848035329
orientation_weight,1.8,24,True,True,0.008376744778237409,0.7868533654038334
orientation_weight,1.8,25,True,True,0.0048049836878310175,0.9650867666876507
orientation_weight,1.8,26,True,True,0.003889526140251906,1.6122014912070917
orientation_weight,1.8,27,True,True,0.0039081147760299285,1.3187776361356591
orientation_weight,1.8,28,True,True,0.004770859637913664,1.2332694321614042
orientation_weight,1.8,29,True,True,0.006477422914858314,0.720072085117426
orientation_weight,3.6,0,True,True,0.0046305262792096305,0.8254801231699078
orientation_weight,3.6,1,True,True,0.007869202259641607,0.6420895330502514
orientation_weight,3.6,2,True,True,0.004956532635339639,0.9943173215166523
orientation_weight,3.6,3,True,True,0.0030807411133850337,1.0893158983293592
orientation_weight,3.6,4,True,True,0.004374044783755876,0.7730151476520278
orientation_weight,3.6,5,True,True,0.004216466640096539,1.0524431281551303
orientation_weight,3.6,6,True,True,0.004368290691383988,1.0640082403613522
orientation_weight,3.6,7,True,True,0.005395538305807695,1.023138067915461
orientation_weight,3.6,8,True,True,0.004692198274023884,0.985603079728337
orientation_weight,3.6,9,True,True,0.0046380351414838875,0.7617758250668455
orientation_weight,3.6,10,True,True,0.004196401974435249,1.046503921423906
orientation_weight,3.6,11,False,False,nan,nan
orientation_weight,3.6,12,True,True,0.004809460380923898,1.0473576423077866
orientation_weight,3.6,13,True,True,0.006207011242767145,1.1919818564934719
orientation_weight,3.6,14,True,True,0.005430595587565197,0.9190225340656294
orientation_weight,3.6,15,True,True,0.004615848404054437,1.1940647328791385
orientation_weight,3.6,16,True,True,0.004756320756144979,0.9868334492836377
orientation_weight,3.6,17,True,True,0.005357122421623092,0.6799749060367887
orientation_weight,3.6,18,True,True,0.003223609925477594,1.6819331942109341
orientation_weight,3.6,19,True,True,0.004391831704947671,1.4062012269622275
orientation_weight,3.6,20,True,True,0.002754053769954063,1.5980365967478294
orientation_weight,3.6,21,True,True,0.005002776142918844,0.9432045060496709
orientation_weight,3.6,22,True,True,0.004395745195277981,1.3056215323585576
orientation_weight,3.6,23,True,True,0.005111547640091124,0.9601873008949708
orientation_weight,3.6,24,True,True,0.008376638289909357,0.7864103541743406
orientation_weight,3.6,25,True,True,0.004804908133914655,0.9644274934280993
orientation_weight,3.6,26,True,True,0.0038894890972749835,1.6117246817192377
orientation_weight,3.6,27,True,True,0.003908154928643724,1.3187257223192312
orientation_weight,3.6,28,True,True,0.00477082579796201,1.23199386159032
orientation_weight,3.6,29,True,True,0.006477357656258512,0.719628766536689
tilt_barrier_weight,5.0,0,True,True,0.004630890833094702,0.8313425012602272
tilt_barrier_weight,5.0,1,True,True,0.007870477747510896,0.6456312148944214
tilt_barrier_weight,5.0,2,True,True,0.0049566615577486565,1.001048642141573
tilt_barrier_weight,5.0,3,True,True,0.0030809354838213917,1.0900268891250682
tilt_barrier_weight,5.0,4,True,True,0.004373366916895051,0.782653856175539
tilt_barrier_weight,5.0,5,True,True,0.004218029363611419,1.0605743655604274
tilt_barrier_weight,5.0,6,True,True,0.004370070142969864,1.065114495084167
tilt_barrier_weight,5.0,7,True,True,0.005395330992087666,1.0228633434117342
tilt_barrier_weight,5.0,8,True,True,0.004692479101394533,0.9904906516584471
tilt_barrier_weight,5.0,9,True,True,0.004638543216392406,0.7675741649923162
tilt_barrier_weight,5.0,10,True,True,0.004196405849598928,1.0565126916766305
tilt_barrier_weight,5.0,11,True,False,0.039008337258086126,13.775523822588736
tilt_barrier_weight,5.0,12,True,True,0.004809703468803359,1.0490631623592122
tilt_barrier_weight,5.0,13,True,True,0.006210145817222096,1.193326148879791
tilt_barrier_weight,5.0,14,True,True,0.00543088155688052,0.9206728579081294
tilt_barrier_weight,5.0,15,True,True,0.00461557142983859,1.1936988776176771
tilt_barrier_weight,5.0,16,True,True,0.004756798535767938,0.9902495550655233
tilt_barrier_weight,5.0,17,True,True,0.005358688744789051,0.6806646487225364
tilt_barrier_weight,5.0,18,True,True,0.003223564582321731,1.6824041909782366
tilt_barrier_weight,5.0,19,True,True,0.0043920870816777135,1.4101632535332898
tilt_barrier_weight,5.0,20,True,True,0.0027528435538484086,1.5997826313291168
tilt_barrier_weight,5.0,21,True,True,0.005002797124427194,0.9511298173341819
tilt_barrier_weight,5.0,22,True,True,0.004395821647974221,1.3084105891726043
tilt_barrier_weight,5.0,23,True,True,0.005111628284170342,0.9678449666612602
tilt_barrier_weight,5.0,24,True,True,0.008377198363598388,0.7886269979863004
tilt_barrier_weight,5.0,25,True,True,0.004805288600166941,0.9677263286038442
tilt_barrier_weight,5.0,26,True,True,0.003889723134351573,1.6141381821616418
tilt_barrier_weight,5.0,27,True,True,0.003907945765971842,1.3189796839971446
tilt_barrier_weight,5.0,28,True,True,0.004771008222279053,1.2383165382542345
tilt_barrier_weight,5.0,29,True,True,0.006477660143899932,0.7218549689547958
tilt_barrier_weight,10.0,0,True,True,0.004630890833094702,0.8313425012602272
tilt_barrier_weight,10.0,1,True,True,0.007870477747510896,0.6456312148944214
tilt_barrier_weight,10.0,2,True,True,0.0049566615577486565,1.001048642141573
tilt_barrier_weight,10.0,3,True,True,0.0030809354838213917,1.0900268891250682
tilt_barrier_weight,10.0,4,True,True,0.004373366916895051,0.782653856175539
tilt_barrier_weight,10.0,5,True,True,0.004218029363611419,1.0605743655604274
tilt_barrier_weight,10.0,6,True,True,0.004370070142969864,1.065114495084167
tilt_barrier_weight,10.0,7,True,True,0.005395330992087666,1.0228633434117342
tilt_barrier_weight,10.0,8,True,True,0.004692479101394533,0.9904906516584471
tilt_barrier_weight,10.0,9,True,True,0.004638543216392406,0.7675741649923162
tilt_barrier_weight,10.0,10,True,True,0.004196405849598928,1.0565126916766305
tilt_barrier_weight,10.0,11,True,False,0.039008337258086126,13.775523822588736
tilt_barrier_weight,10.0,12,True,True,0.004809703468803359,1.0490631623592122
tilt_barrier_weight,10.0,13,True,True,0.006210145817222096,1.193326148879791
tilt_barrier_weight,10.0,14,True,True,0.00543088155688052,0.9206728579081294
tilt_barrier_weight,10.0,15,True,True,0.00461557142983859,1.1936988776176771
tilt_barrier_weight,10.0,16,True,True,0.004756798535767938,0.9902495550655233
tilt_barrier_weight,10.0,17,True,True,0.005358688744789051,0.6806646487225364
tilt_barrier_weight,10.0,18,True,True,0.003223564582321731,1.6824041909782366
tilt_barrier_weight,10.0,19,True,True,0.0043920870816777135,1.4101632535332898
tilt_barrier_weight,10.0,20,True,True,0.0027528435538484086,1.5997826313291168
tilt_barrier_weight,10.0,21,True,True,0.005002797124427194,0.9511298173341819
tilt_barrier_weight,10.0,22,True,True,0.004395821647974221,1.3084105891726043
tilt_barrier_weight,10.0,23,True,True,0.005111628284170342,0.9678449666612602
tilt_barrier_weight,10.0,24,True,True,0.008377198363598388,0.7886269979863004
tilt_barrier_weight,10.0,25,True,True,0.004805288600166941,0.9677263286038442
tilt_barrier_weight,10.0,26,True,True,0.003889723134351573,1.6141381821616418
tilt_barrier_weight,10.0,27,True,True,0.003907945765971842,1.3189796839971446
tilt_barrier_weight,10.0,28,True,True,0.004771008222279053,1.2383165382542345
tilt_barrier_weight,10.0,29,True,True,0.006477660143899932,0.7218549689547958
tilt_barrier_weight,18.0,0,True,True,0.004630890833094702,0.8313425012602272
tilt_barrier_weight,18.0,1,True,True,0.007870477747510896,0.6456312148944214
