target_id,target_x,target_y,target_z,reachable,planned_success,sim_success,final_error_m,planned_error_m,max_tilt_deg,planned_max_tilt_deg,path_length_m,message
81,0.9613171368761786,0.16045270764419448,1.5677389537760111,True,True,True,0.004493083368592314,1.3458297407043545e-06,1.1776810369412545,0.0022439833624307106,0.475435463874242,ok
82,1.022897565302621,-0.14038285160693825,1.0741840434071825,True,True,True,0.004565325079600527,1.5910714953548972e-06,0.5986010338663338,0.013099635244700404,0.614647386345046,ok
83,0.8658049225830193,0.2091373352507082,1.567490631752325,True,True,True,0.004104756217252563,1.4994660392688906e-06,1.293588544127335,0.0033564741399385997,0.5881469052957511,ok
84,0.8433758434817964,-0.3500010939640157,0.9366623629975811,True,True,True,0.0034562579986703867,1.8800459923112806e-06,0.6713526200325638,0.015595762775068224,0.9051764439899682,ok
85,1.0097854729555493,0.543608076900578,0.8052780798541249,True,True,True,0.003108462986626205,1.1637144553629085e-06,1.5029203260912114,0.024245500670479803,1.0398308204159308,ok
86,0.5967130342180006,0.08854716842440054,0.8461732441926982,True,True,False,0.0323523375330172,1.3842618755725556e-05,13.142219547821721,5.254328766093485,1.6684808220537701,ok
87,1.1571643280643242,-0.35273313248186655,0.8438719329711426,True,True,True,0.0042262202469905835,1.1103054243599492e-06,1.3647943341585413,0.02184212735010858,0.8609032820275502,ok
88,1.1155554521020263,-0.6413497331709159,0.9847200823379355,True,True,True,0.005847530976837736,9.466637744220588e-07,1.107946229562755,0.017103960462636254,0.9383724378557721,ok
89,0.5554231657808059,-0.3798513167014105,0.72114801633644,True,True,True,0.0031672008124181933,5.004956024303609e-06,0.8067070577819563,0.018243433851830887,1.2541773450755898,ok
90,0.5193928877872097,-0.2888648906474382,0.7533819326271753,True,True,True,0.01676670930155554,1.1765175761756034e-05,10.388917403461882,3.878773974861912,1.7337890073005306,ok
91,0.982535020299753,0.2845700956021445,1.0936304568320283,True,True,True,0.004528858517781498,1.6052913737673696e-06,0.6641544820561149,0.012402211265126441,0.6798665528608306,ok
92,0.8043728254460977,0.005679714408021967,1.5750049422346084,True,True,True,0.003846346346954918,1.6557145182841097e-06,1.379846580800191,0.004957335056124487,0.6127127827394997,ok
93,0.9317212055399913,-0.8043776826242361,0.881498409596524,True,True,True,0.0044702119823061374,9.707689387295656e-07,1.3236377875057617,0.02164551107423059,1.1892430818423267,ok
94,0.6836050846700216,-0.2817629864646399,1.2712326517427726,True,True,True,0.004727151558309684,2.5403974107360373e-06,1.2234202658085158,0.006726502856207353,0.8331340058015833,ok
